Date,Price
7/18/2010,0.0858
7/19/2010,0.0808
7/20/2010,0.0747
7/21/2010,0.0792
7/22/2010,0.0505
7/23/2010,0.0626
7/24/2010,0.0545
7/25/2010,0.0505
7/26/2010,0.056
7/27/2010,0.06
7/28/2010,0.0589
7/29/2010,0.0699
7/30/2010,0.0627
7/31/2010,0.0679
8/1/2010,0.0611
8/2/2010,0.06
8/3/2010,0.06
8/4/2010,0.057
8/5/2010,0.061
8/6/2010,0.0623
8/7/2010,0.059
8/8/2010,0.0609
8/9/2010,0.071
8/10/2010,0.07
8/11/2010,0.067
8/12/2010,0.07
8/13/2010,0.0645
8/14/2010,0.067
8/15/2010,0.0653
8/16/2010,0.0655
8/17/2010,0.07
8/18/2010,0.068
8/19/2010,0.0667
8/20/2010,0.0655
8/21/2010,0.0664
8/22/2010,0.066
8/23/2010,0.0649
8/24/2010,0.065
8/25/2010,0.0648
8/26/2010,0.064
8/27/2010,0.065
8/28/2010,0.0641
8/29/2010,0.064
8/30/2010,0.065
8/31/2010,0.06
9/1/2010,0.0629
9/2/2010,0.0634
9/3/2010,0.0609
9/4/2010,0.0624
9/5/2010,0.0616
9/6/2010,0.0616
9/7/2010,0.061
9/8/2010,0.062
9/9/2010,0.0611
9/10/2010,0.0618
9/11/2010,0.0637
9/12/2010,0.0615
9/13/2010,0.0622
9/14/2010,0.062
9/15/2010,0.0604
9/16/2010,0.0619
9/17/2010,0.059
9/18/2010,0.061
9/19/2010,0.0627
9/20/2010,0.0621
9/21/2010,0.0627
9/22/2010,0.0622
9/23/2010,0.0623
9/24/2010,0.0622
9/25/2010,0.062
9/26/2010,0.062
9/27/2010,0.0622
9/28/2010,0.0619
9/29/2010,0.0619
9/30/2010,0.0619
10/1/2010,0.062
10/2/2010,0.0614
10/3/2010,0.0611
10/4/2010,0.0613
10/5/2010,0.0614
10/6/2010,0.0628
10/7/2010,0.067
10/8/2010,0.0869
10/9/2010,0.0938
10/10/2010,0.0965
10/11/2010,0.095
10/12/2010,0.0949
10/13/2010,0.105
10/14/2010,0.102
10/15/2010,0.105
10/16/2010,0.101
10/17/2010,0.102
10/18/2010,0.1024
10/19/2010,0.097
10/20/2010,0.099
10/21/2010,0.107
10/22/2010,0.1025
10/23/2010,0.1055
10/24/2010,0.115
10/25/2010,0.132
10/26/2010,0.1503
10/27/2010,0.1877
10/28/2010,0.1731
10/29/2010,0.19
10/30/2010,0.1989
10/31/2010,0.1925
11/1/2010,0.1955
11/2/2010,0.1938
11/3/2010,0.1931
11/4/2010,0.23
11/5/2010,0.26
11/6/2010,0.39
11/7/2010,0.34
11/8/2010,0.243
11/9/2010,0.21
11/10/2010,0.24
11/11/2010,0.2231
11/12/2010,0.2682
11/13/2010,0.276
11/14/2010,0.279
11/15/2010,0.2682
11/16/2010,0.223
11/17/2010,0.2299
11/18/2010,0.2678
11/19/2010,0.28
11/20/2010,0.283
11/21/2010,0.2768
11/22/2010,0.2879
11/23/2010,0.283
11/24/2010,0.283
11/25/2010,0.28
11/26/2010,0.2844
11/27/2010,0.283
11/28/2010,0.27
11/29/2010,0.2299
11/30/2010,0.2082
12/1/2010,0.2275
12/2/2010,0.255
12/3/2010,0.2511
12/4/2010,0.205
12/5/2010,0.19
12/6/2010,0.204
12/7/2010,0.233
12/8/2010,0.2388
12/9/2010,0.2
12/10/2010,0.204
12/11/2010,0.228
12/12/2010,0.22
12/13/2010,0.2299
12/14/2010,0.2467
12/15/2010,0.238
12/16/2010,0.25
12/17/2010,0.24
12/18/2010,0.241
12/19/2010,0.2401
12/20/2010,0.267
12/21/2010,0.24
12/22/2010,0.25
12/23/2010,0.25
12/24/2010,0.248
12/25/2010,0.2499
12/26/2010,0.265
12/27/2010,0.265
12/28/2010,0.281
12/29/2010,0.3
12/30/2010,0.3
12/31/2010,0.3
1/1/2011,0.3
1/2/2011,0.3
1/3/2011,0.295
1/4/2011,0.299
1/5/2011,0.299
1/6/2011,0.298
1/7/2011,0.32
1/8/2011,0.3229
1/9/2011,0.323
1/10/2011,0.3266
1/11/2011,0.3266
1/12/2011,0.3188
1/13/2011,0.3176
1/14/2011,0.4
1/15/2011,0.386
1/16/2011,0.3868
1/17/2011,0.3495
1/18/2011,0.313
1/19/2011,0.313
1/20/2011,0.39
1/21/2011,0.4199
1/22/2011,0.4443
1/23/2011,0.4424
1/24/2011,0.4199
1/25/2011,0.41
1/26/2011,0.417
1/27/2011,0.4212
1/28/2011,0.446
1/29/2011,0.439
1/30/2011,0.4799
1/31/2011,0.52
2/1/2011,0.7
2/2/2011,0.716
2/3/2011,0.69
2/4/2011,0.811
2/5/2011,0.92
2/6/2011,0.8997
2/7/2011,0.89
2/8/2011,0.918
2/9/2011,1.09
2/10/2011,0.9803
2/11/2011,1.07
2/12/2011,1.0799
2/13/2011,1.05
2/14/2011,1.07
2/15/2011,1.05
2/16/2011,1.045
2/17/2011,1.04
2/18/2011,0.8989
2/19/2011,0.949
2/20/2011,0.85
2/21/2011,0.8345
2/22/2011,0.8702
2/23/2011,0.9
2/24/2011,0.9974
2/25/2011,0.9111
2/26/2011,0.958
2/27/2011,0.89
2/28/2011,0.86
3/1/2011,0.9202
3/2/2011,0.9399
3/3/2011,0.9391
3/4/2011,0.901
3/5/2011,0.9103
3/6/2011,0.8999
3/7/2011,0.885
3/8/2011,0.87
3/9/2011,0.8645
3/10/2011,0.9329
3/11/2011,0.88
3/12/2011,0.918
3/13/2011,0.8925
3/14/2011,0.8949
3/15/2011,0.87
3/16/2011,0.86
3/17/2011,0.8254
3/18/2011,0.8165
3/19/2011,0.765
3/20/2011,0.7411
3/21/2011,0.759
3/22/2011,0.809
3/23/2011,0.8497
3/24/2011,0.8669
3/25/2011,0.8838
3/26/2011,0.8552
3/27/2011,0.82
3/28/2011,0.799
3/29/2011,0.7925
3/30/2011,0.7897
3/31/2011,0.7846
4/1/2011,0.7741
4/2/2011,0.782
4/3/2011,0.779
4/4/2011,0.68
4/5/2011,0.71
4/6/2011,0.74
4/7/2011,0.7538
4/8/2011,0.75
4/9/2011,0.73
4/10/2011,0.7369
4/11/2011,0.77
4/12/2011,0.86
4/13/2011,0.9225
4/14/2011,1
4/15/2011,0.9899
4/16/2011,1.0499
4/17/2011,1.1123
4/18/2011,1.162
4/19/2011,1.1979
4/20/2011,1.1421
4/21/2011,1.21
4/22/2011,1.409
4/23/2011,1.7001
4/24/2011,1.6301
4/25/2011,1.559
4/26/2011,1.7949
4/27/2011,1.9
4/28/2011,2.2106
4/29/2011,2.88
4/30/2011,3.5
5/1/2011,3.0331
5/2/2011,3.2
5/3/2011,3.41
5/4/2011,3.4061
5/5/2011,3.333
5/6/2011,3.45
5/7/2011,3.641
5/8/2011,3.8659
5/9/2011,3.8
5/10/2011,5.81
5/11/2011,5.5
5/12/2011,6.3002
5/13/2011,8.198
5/14/2011,7.1977
5/15/2011,6.987
5/16/2011,8.0339
5/17/2011,7.19
5/18/2011,6.88
5/19/2011,6.805
5/20/2011,5.5904
5/21/2011,6.1197
5/22/2011,6.6901
5/23/2011,7.1499
5/24/2011,7.42
5/25/2011,8.3997
5/26/2011,8.798
5/27/2011,8.5002
5/28/2011,8.3001
5/29/2011,8.4299
5/30/2011,8.8
5/31/2011,8.741
6/1/2011,9.57
6/2/2011,10.6
6/3/2011,14.29
6/4/2011,18.89
6/5/2011,16.7
6/6/2011,18.5499
6/7/2011,23.9234
6/8/2011,29.6
6/9/2011,28.919
6/10/2011,23.9497
6/11/2011,14.6511
6/12/2011,18.5464
6/13/2011,19.84
6/14/2011,19.28
6/15/2011,19.49
6/16/2011,17
6/17/2011,15.681
6/18/2011,16.89
6/19/2011,17.51
6/20/2011,17.51
6/21/2011,17.51
6/22/2011,17.51
6/23/2011,17.51
6/24/2011,17.51
6/25/2011,17.51
6/26/2011,16.45
6/27/2011,16.75
6/28/2011,16.9498
6/29/2011,16.845
6/30/2011,16.101
7/1/2011,15.397
7/2/2011,15.4
7/3/2011,15.4405
7/4/2011,13.86
7/5/2011,12.9069
7/6/2011,14.7835
7/7/2011,14.7761
7/8/2011,14.314
7/9/2011,14.38
7/10/2011,14.9
7/11/2011,14.2091
7/12/2011,14.0094
7/13/2011,13.951
7/14/2011,13.99
7/15/2011,13.81
7/16/2011,13.7191
7/17/2011,13.16
7/18/2011,13.48
7/19/2011,13.8502
7/20/2011,13.6894
7/21/2011,13.61
7/22/2011,13.6954
7/23/2011,13.68
7/24/2011,13.98
7/25/2011,14.0478
7/26/2011,13.8821
7/27/2011,13.9394
7/28/2011,13.4901
7/29/2011,13.4983
7/30/2011,13.5303
7/31/2011,13.35
8/1/2011,13.0946
8/2/2011,12.05
8/3/2011,9.26
8/4/2011,10.75
8/5/2011,9.7999
8/6/2011,6.55
8/7/2011,7.9
8/8/2011,7.7999
